a-tacs,150.22134837963,137.03790075231,103.25894338349,130.17273083848
alpenflage,175.87915217391,154.56915507246,125.87604202899,152.10811642512
cec,86.289814236111,79.296823784722,58.580376736111,74.722338252315
desert_marpat,182.94341269841,164.0610515873,130.43047619048,159.14498015873
dpm,99.920763772048,79.712021711192,41.138326845431,73.590370776224
flecktarn,77.0383150125,70.967935235525,36.954740267471,61.653663505166
kryptek,131.1604190182,116.60114061665,97.803897106873,115.18848558057
lizard,112.28566318927,109.94676602086,77.518310978639,99.916913396258
m90,90.770836,92.927324,46.273896,76.657352
marpat,96.918273092369,90.787333333333,83.429289156627,90.378298527443
multicam,148.21664927536,138.25440724638,119.85769275362,135.44291642512
spliter_night,61.897067238913,61.897067238913,61.897067238913,61.897067238913
strichtarn,156.27632231405,140.74508264463,124.30194214876,140.44111570248
tigerstripe,133.515488,141.467289,101.407964,125.46358033333
urban_marpat,147.12190416667,143.78379791667,142.33393333333,144.41321180556
